,foods
2137,Thousand Island dressing
2138,Yogurt dressing
2139,Korean dressing or marinade
2140,Cream sauce
2141,Soy based sauce
2142,Tomato sauce
2143,Sugar
2144,Sugar substitute and sugar blend
2145,Sugar substitute
2146,Syrup
2147,Pancake syrup
2148,Corn syrup
2149,Blueberry syrup
2150,Chocolate syrup
2151,Simple syrup
2152,Strawberry drink syrup
2153,Honey
2154,Agave liquid sweetener
2155,Molasses
2156,Topping
2157,Icing
2158,Caramel dip
2159,Chocolate dip
2160,Dessert dip
2161,Sweet and sour sauce
2162,Dessert sauce
2163,Duck sauce
2164,Jelly
2165,Jam
2166,Fruit butter
2167,Marmalade
2168,Guava paste
2169,Sweet potato paste
2170,Bean paste
2171,Gelatin dessert
2172,Gelatin dessert with fruit
2173,Gelatin salad with vegetables
2174,Yokan
2175,Coconut cream cake
2176,Haupia
2177,Italian Ice
2178,Popsicle
2179,Freezer pop
2180,Snow cone
2181,Candy
2182,M&M's Almond Chocolate Candies
2183,Butterscotch morsels
2184,Caramel
2185,Caramel candy
2186,Caramel with nuts and cereal
2187,Caramel with nuts
2188,Rolo
2189,Toblerone
2190,TWIX Caramel Cookie Bars
2191,TWIX Chocolate Fudge Cookie Bars
2192,TWIX Peanut Butter Cookie Bars
2193,Whatchamacallit
2194,Espresso coffee beans
2195,Milk chocolate candy
2196,Kit Kat
2197,Chocolate
2198,Chocolate candy with fondant and caramel
2199,Kit Kat White
2200,Mexican chocolate
2201,Coconut candy
2202,Fondant
2203,Fruit peel
2204,Date candy
2205,Soft fruit confections
2206,Fruit leather and fruit snacks candy
2207,Fun Fruits Creme Supremes
2208,Tamarind candy
2209,Fruit snacks candy
2210,Yogurt covered fruit snacks candy
2211,Yogurt covered fruit snacks candy rolls
2212,Gumdrops
2213,Fudge
2214,SNICKERS Bar
2215,Baby Ruth
2216,100 GRAND Bar
2217,Halvah
2218,Honey-combed hard candy with peanut butter
2219,Butterfinger
2220,Butterfinger Crisp
2221,Chocolate-flavored sprinkles
2222,Ladoo
2223,Licorice
2224,Marshmallow
2225,Nougat
2226,MILKY WAY Bar
2227,MILKY WAY MIDNIGHT Bar
2228,MARS Almond Bar
2229,3 MUSKETEERS Bar
2230,3 Musketeers Truffle Crisp Bar
2231,Nut roll
2232,Sugared pecans
2233,M&M's Peanut Chocolate Candies
2234,M&M's Peanut Butter Chocolate Candies
2235,Peanut bar
2236,Planters Peanut Bar
2237,Peanut brittle
2238,Peanut Bar
2239,Reese's Peanut Butter Cup
2240,Reese's Pieces
2241,Reese's Sticks
2242,Reese's Fast Break
2243,Reese's Crispy Crunchy Bar
2244,Peanut butter morsels
2245,Pralines
2246,Pineapple candy
2247,Sesame Crunch
2248,Hard candy
2249,Butterscotch hard candy
2250,Skittles
2251,Sugar-coated chocolate discs
2252,M&M's Milk Chocolate Candies
2253,Sixlets
2254,Easter egg
2255,M&M's Pretzel Chocolate Candies
2256,Taffy
2257,Toffee
2258,Truffles
2259,Wax candy
2260,Dietetic or low calorie candy
2261,Dietetic or low calorie gumdrops
2262,Dietetic or low calorie hard candy
2263,Dietetic or low calorie mints
2264,Chewing gum
2265,Coffee
2266,Frozen coffee drink
2267,Frozen mocha coffee drink
2268,Iced Coffee
2269,Coffee and chicory
2270,Coffee substitute
2271,Chicory beverage
2272,Cereal beverage
2273,Cereal beverage with beet roots
2274,Tea
2275,Corn beverage
2276,Iced Tea / Lemonade juice drink
2277,Soft drink
2278,Carbonated water
2279,Fruit juice drink
2280,Tamarind drink
2281,Fruit punch
2282,Lemonade
2283,Fruit flavored drink
2284,Fruit juice beverage
2285,Frozen daiquiri mix
2286,Pina Colada
2287,Margarita mix
2288,Slush frozen drink
2289,Cranberry juice drink
2290,Vegetable and fruit juice drink
2291,Fruit juice drink (Sunny D)
2292,Grape juice drink
2293,Orange juice beverage
2294,Apple juice beverage
2295,Pomegranate juice beverage
2296,Fruit juice drink (Capri Sun)
2297,Horchata beverage
2298,Oatmeal beverage with water
2299,Oatmeal beverage with milk
2300,Sugar cane beverage
2301,Cornmeal beverage
2302,Cornmeal beverage with chocolate milk
2303,Wine
2304,Nonalcoholic malt beverage
2305,Shirley Temple
2306,Sports drink
2307,Beer
2308,Alcoholic malt beverage
2309,Hard cider
2310,Cordial or liqueur
2311,Cocktail
2312,Alexander
2313,Bacardi cocktail
2314,Bloody Mary
2315,Canadian Club and soda
2316,Cape Cod
2317,Daiquiri
2318,Gelatin shot
2319,Gimlet
2320,Gin and Tonic
2321,Grasshopper
2322,Greyhound
2323,High ball
2324,Jagerbomb
2325,Kamikaze
2326,Manhattan
2327,Margarita
2328,Martini
2329,Mimosa
2330,Mint julep
2331,Mojito
2332,Old fashioned
2333,Orange Blossom
2334,Rob Roy
2335,Rusty Nail
2336,Salty Dog
2337,Screwdriver
2338,Seabreeze
2339,Seven and Seven
2340,Tom Collins
2341,Whiskey sour
2342,Whiskey and soda
2343,Whiskey and water
2344,Whiskey and cola
2345,Whiskey and diet cola
2346,Whiskey and ginger ale
2347,Rum and cola
2348,Rum and diet cola
2349,Brandy and cola
2350,Vodka and soda
2351,Vodka and lemonade
2352,Vodka and cola
2353,Vodka and diet cola
2354,Vodka and energy drink
2355,Vodka and water
2356,Vodka and tonic
2357,Sloe gin fizz
2358,Black Russian
2359,White Russian
2360,Champagne punch
2361,Singapore Sling
2362,Stinger
2363,Mai Tai
2364,Tequila Sunrise
2365,Gin Rickey
2366,Golden Cadillac
2367,Long Island iced tea
2368,Fuzzy Navel
2369,Irish Coffee
2370,Liqueur with cream
2371,Frozen daiquiri
2372,Frozen margarita
2373,Gin fizz
2374,Rum
2375,Zombie
2376,Wine cooler
2377,Sangria
2378,Wine spritzer
2379,Glug
2380,Brandy
2381,Whiskey
2382,Scotch
2383,Gin
2384,Rum cooler
2385,Vodka
2386,Tequila
2387,Water
2388,Nutritional drink or shake
2389,Nutritional powder mix (Carnation Instant Breakfast)
2390,Nutritional powder mix
2391,Nutritional powder mix (EAS Whey Protein Powder)
2392,Nutritional powder mix (EAS Soy Protein Powder)
2393,Nutritional powder mix (Isopure)
2394,Nutritional powder mix (Kellogg's Special K20 Protein Water)
2395,Nutritional powder mix (Muscle Milk)
2396,Nutritional powder mix (Slim Fast)
2397,Energy drink (Full Throttle)
2398,Energy drink (Monster)
2399,Energy drink (Mountain Dew AMP)
2400,Energy drink (No Fear)
2401,Energy drink (No Fear Motherload)
2402,Energy drink (NOS)
2403,Energy drink (Red Bull)
2404,Energy drink (Rockstar)
2405,Energy drink (SoBe Energize Energy Juice Drink)
2406,Energy drink (Vault)
2407,Energy Drink
2408,Energy drink
2409,Energy drink (Ocean Spray Cran-Energy Juice Drink)
2410,Energy drink (XS)
2411,Energy drink (XS Gold Plus)
2412,Sports drink (Gatorade G)
2413,Sports drink (Powerade)
2414,Fluid replacement
2415,Cheese as ingredient in sandwiches
2416,Breakfast meat as ingredient in omelet
2417,Fish fillet
2418,Breading or batter as ingredient in food
2419,Wheat bread as ingredient in sandwiches
2420,Wheat bun as ingredient in sandwiches
2421,Green pepper
2422,Red pepper
2423,Dark green vegetables as ingredient in omelet
2424,Tomatoes as ingredient in omelet
2425,Other vegetables as ingredient in omelet
2426,Vegetables as ingredient in curry
2427,Sauce as ingredient in hamburgers
2428,Industrial oil as ingredient in food
